,title,author,publication date,format,current price,original price
67,The Man Who Died Twice,Richard Osman,16 Sep 2021,Hardback,US$26.09,US$26.09
68,"The Boy, The Mole, The Fox and The Horse",Charlie Mackesy,04 Nov 2019,Hardback,US$23.02,US$23.13
69,Sapiens,Yuval Noah Harari,01 May 2015,Paperback,US$20.65,US$20.65
70,A Passage North,Anuk Arudpragasam,15 Jul 2021,Hardback,US$25.94,US$25.94
71,Six of Crows: Collector's Edition,Leigh Bardugo,11 Oct 2018,Hardback,US$24.77,US$24.77
72,What Really Happened In Wuhan,Sharri Markson,29 Sep 2021,Paperback,US$22.67,US$25.33
73,The Power of Now,Eckhart Tolle,07 Jan 2016,Paperback,US$13.74,US$19.75
74,"My Hero Academia, Vol. 29",Kohei Horikoshi,30 Sep 2021,Paperback,US$9.72,US$9.99
75,We Were Liars,E. Lockhart,13 May 2014,Paperback,US$14.17,US$14.17
76,Joshua Weissman: An Unapologetic Cookbook,Joshua Weissman,14 Sep 2021,Hardback,US$28.72,US$30.00
77,Aristotle and Dante Dive Into the Waters of the World,Benjamin Alire Saenz,12 Oct 2021,Paperback,US$12.88,US$12.88
78,"Bungo Stray Dogs, Vol. 1",Kafka Asagiri,20 Dec 2016,Paperback,US$13.00,US$13.00
79,Animal Farm,George Orwell,01 Oct 2008,Paperback,US$7.19,US$17.75
80,"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,22 Oct 2020,Hardback,US$20.96,US$22.99
81,Natural Magick,Lindsay Squire,21 Sep 2021,Paperback,US$20.78,US$20.78
82,Our Family Pledge,Emmaline Carroll Southwell,28 Sep 2021,Hardback,US$13.80,US$14.47
83,The Queen of Nothing (The Folk of the Air #3),Holly Black,23 Jul 2020,Paperback,US$13.88,US$13.88
84,The Four Agreements,Don Miguel Ruiz,07 Nov 1997,Paperback,US$11.35,US$12.95
85,Giraffes Can't Dance,Giles Andreae,01 May 2014,Paperback,US$11.52,US$13.25
86,Before the Coffee Gets Cold,Toshikazu Kawaguchi,19 Sep 2019,Paperback,US$12.31,US$12.31
87,Crooked Kingdom Collector's Edition,Leigh Bardugo,05 Sep 2019,Hardback,US$21.40,US$23.13
88,The Wicked King (The Folk of the Air #2),Holly Black,04 Oct 2019,Paperback,US$10.35,US$12.24
89,Circe,Madeline Miller,24 Apr 2019,Paperback,US$13.47,US$13.60
90,The Koala Who Could,Rachel Bright,17 Feb 2017,Paperback,US$12.53,US$12.53
91,Have You Filled A Bucket Today?,Carol McCloud,01 Oct 2015,Paperback,US$9.74,US$9.95
92,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi (Novel) Vol. 2,Mo Xiang Tong Xiu,15 Mar 2022,Paperback,US$17.89,US$19.99
93,The Unhoneymooners,Christina Lauren,14 May 2019,Paperback,US$16.17,US$16.99
94,Dune Messiah,Frank Herbert,16 May 2018,Paperback,US$15.41,US$15.41
95,And Away...,Bob Mortimer,16 Sep 2021,Paperback,US$21.29,US$21.29
96,Secrets of Natural Success,William Whitecloud,12 Jul 2019,Paperback,US$25.12,US$25.12
97,The Bell Jar,Sylvia Plath,15 Aug 2011,Paperback,US$11.68,US$12.95
98,The Invisible String,Patrice Karst,06 Dec 2018,Paperback,US$10.62,US$10.62
99,Children Of Dune,Frank Herbert,28 Jan 2021,Paperback,US$16.63,US$16.63
100,The Untethered Soul,Michael A. Singer,07 Nov 2007,Paperback,US$14.10,US$18.95
101,Belonging,Catherine Corless,16 Sep 2021,Paperback,US$19.25,US$21.77
102,Mindset - Updated Edition,Dr Carol Dweck,11 Apr 2017,Paperback,US$17.53,US$17.53
103,The Tiger Who Came to Tea,Judith Kerr,06 Feb 2006,Paperback,US$9.01,US$9.01
104,If We Were Villains,M. L. Rio,13 Jun 2017,Paperback,US$12.43,US$12.43
105,The Unhoneymooners,Christina Lauren,14 May 2020,Paperback,US$11.20,US$12.24
