,title,author,current price
989,Aroha,Hinemoa Elder,28.64
1001,"How to Make Money in Stocks: A Winning System in Good Times and Bad, Fourth Edition",William O'Neil,20.45
1002,The Dressmakers of Auschwitz,Lucy Adlington,16.03
1003,"One: Pot, Pan, Planet",Anna Jones,37.48
1006,Plants for Your Food Forest,Plants for a Future,27.35
1007,Legendary (Caraval 2),Stephanie Garber,16.54
1008,"Star Wars: The High Republic: Edge of Balance, Vol. 1",Shima Shinya,13.92
1009,"The Promised Neverland, Vol. 20",Kaiu Shirai,13.92
1010,"My Hero Academia, Vol. 28",Kohei Horikoshi,10.31
1011,"Blue Flag, Vol. 8",KAITO,13.41
1013,The Good Life,Hannah Moloney,49.07
1015,The Labyrinth,Amanda Lohrey,30.72
1016,A Dowry of Blood,S T Gibson,12.77
1017,"The Good Enough Parent: How to raise contented, interesting and resilient children",The School of Life,19.57
1018,Maybe You Should Talk to Someone,Lori Gottlieb,21.31
